total_time,total_cpu_usage,max_ram_usage,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
13.49,99%,1470312,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0996 GHz,2.9000 GHz,256,6,KNP
13.32,99%,1470608,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0996 GHz,2.9000 GHz,256,6,KNP
13.34,99%,1469848,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0996 GHz,2.9000 GHz,256,6,KNP
13.45,99%,1469704,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0996 GHz,2.9000 GHz,256,6,KNP
13.45,99%,1470636,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0996 GHz,2.9000 GHz,256,6,KNP
17.59,99%,15872,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0168 GHz,2.9000 GHz,256,6,N_Queens
17.51,99%,15488,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0168 GHz,2.9000 GHz,256,6,N_Queens
17.66,99%,15616,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0168 GHz,2.9000 GHz,256,6,N_Queens
17.47,99%,15744,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0168 GHz,2.9000 GHz,256,6,N_Queens
17.53,99%,15360,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0168 GHz,2.9000 GHz,256,6,N_Queens
17.23,99%,31532,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0513 GHz,2.9000 GHz,256,6,TSP
17.30,99%,31656,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0513 GHz,2.9000 GHz,256,6,TSP
17.70,99%,31652,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0513 GHz,2.9000 GHz,256,6,TSP
17.36,99%,31564,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0513 GHz,2.9000 GHz,256,6,TSP
17.29,99%,31660,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0513 GHz,2.9000 GHz,256,6,TSP
11.91,1085%,2422584,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0771 GHz,2.9000 GHz,256,6,MATRIX_MULT
10.94,1077%,2422580,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0771 GHz,2.9000 GHz,256,6,MATRIX_MULT
10.79,1076%,2422460,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0771 GHz,2.9000 GHz,256,6,MATRIX_MULT
11.84,1087%,2422584,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0771 GHz,2.9000 GHz,256,6,MATRIX_MULT
11.05,1073%,2422456,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0771 GHz,2.9000 GHz,256,6,MATRIX_MULT
